trade_date,candidate_index,symbol,name,pattern_id,phase1_score_100,phase2_score_100,phase4_score_100,phase4_5d_mean,phase4_5d_std,phase5_score_100,ATR%,建议总仓位%,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,ATR14,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,波动分层,phase2_is_cusum_event,phase7_score_100,phase7_trade_permission,reason,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,extension_above_old_high_pct,days_after_breakout,post_breakout_max_high_extension_pct,duck_peak_date,duck_peak_price,days_since_duck_peak,neck_start_date,neck_return_pct,neck_low_to_peak_return_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,nostril_cross_date,days_since_nostril_cross,cross_after_pullback_low_days,nostril_cross_ma5_ma10_gap_pct,latest_ma5_ma10_gap_pct,nostril_volume_ma20_ratio,distance_to_duck_peak_pct,pullback_volume_peak_tail_ratio,pullback_back_half_volume_ratio,pullback_max_single_day_peak_tail_ratio,large_bearish_count,max_bearish_body_pct,max_bearish_volume_ratio,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_volume,pullback_max_rise_tail_volume_ratio,support_touch_date,breakdown_date,breakdown_volume_ratio_to_anchor,reclaim_date,days_to_reclaim,post_reclaim_days,tier,stable_score,交易日期,收盘价,连续上榜天数
2026-05-12,1,"=""603826""",坤彩科技,5,18.81,7.51,1.47,10.98,6.31,57.83,4.95,23.77,below_signal,none,none,False,False,,False,False,2.085,2.3549,-0.5399,1.7766,34.1234,32.3467,39.4533,41.2299,中等波动,1.0,100.0,allow,"recent 10d high on 2026-04-28 at 37.10, MA20 touch on 2026-05-12, latest distance=-3.23%, vol5_20=0.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0719,0.8834,2026-04-28,37.1,7.0,-0.0323,0.0142,0.1363,0.0126,0.1267,0.7458,2026-05-12,0.3075,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.9505,2026-05-12,35.9,1
2026-05-12,2,"=""603800""",洪田股份,1,8.95,6.64,33.89,14.79,11.59,44.28,4.84,24.33,above_signal,none,bullish,False,False,,True,False,3.7135,3.0518,1.3233,2.8147,55.3953,52.5807,63.8393,66.654,中等波动,1.0,100.0,allow,"near old high 58.71 from 2025-12-25, distance=0.85%, drawdown=41.73%, vol20=1.10",2025-12-25,58.71,86.0,0.4173,0.0085,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.7516,2026-05-12,58.21,1
2026-05-12,3,"=""002815""",崇达技术,1,78.85,32.75,67.85,70.34,10.95,61.16,4.1,28.7,golden_cross,none,none,False,False,,False,False,0.2168,0.1183,0.197,0.6625,15.4975,14.8351,17.4849,18.1474,中等波动,0.0,100.0,allow,"near old high 16.54 from 2026-01-23, distance=2.30%, drawdown=19.29%, vol20=1.17",2026-01-23,16.54,67.0,0.1929,0.023,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.359,2026-05-12,16.16,1
2026-05-12,4,"=""002803""",吉宏股份,1,54.17,14.88,94.31,54.31,38.33,55.66,3.81,30.9,above_signal,none,none,False,False,,False,False,1.1857,0.7907,0.7899,0.8556,21.6144,20.7587,24.1813,25.0369,中等波动,0.0,100.0,allow,"near old high 23.65 from 2023-11-21, distance=4.99%, drawdown=61.70%, vol20=0.77",2023-11-21,23.65,595.0,0.617,0.0499,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.7654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,4.9619,2026-05-12,22.47,1
2026-05-12,5,"=""002628""",成都路桥,1,23.23,9.62,11.27,65.07,31.68,69.87,3.94,29.89,above_signal,none,none,False,False,,False,False,0.1717,0.1425,0.0584,0.2314,5.6486,5.4172,6.3428,6.5743,中等波动,0.0,100.0,allow,"near old high 6.08 from 2025-07-22, distance=3.29%, drawdown=35.03%, vol20=1.27",2025-07-22,6.08,192.0,0.3503,0.0329,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,4.9606,2026-05-12,5.88,3
2026-05-12,6,"=""002858""",力盛体育,1,86.36,33.52,36.3,50.22,19.32,70.2,4.11,28.65,above_signal,none,none,False,False,,False,False,0.4179,0.3209,0.1941,0.7017,16.3883,15.6866,18.4934,19.1951,中等波动,0.0,100.0,allow,"near old high 17.97 from 2026-01-13, distance=4.90%, drawdown=25.65%, vol20=1.25",2026-01-13,17.97,75.0,0.2565,0.049,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.2495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,4.9589,2026-05-12,17.09,1
2026-05-12,7,"=""603458""",勘设股份,1,30.54,10.36,74.41,89.07,10.06,69.71,4.38,26.83,above_signal,none,none,False,False,,False,False,0.6023,0.4465,0.3116,0.5862,12.7838,12.1975,14.5425,15.1287,中等波动,0.0,100.0,allow,"near old high 13.67 from 2026-01-15, distance=2.19%, drawdown=32.19%, vol20=1.00",2026-01-15,13.67,73.0,0.3219,0.0219,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,4.9562,2026-05-12,13.37,2
2026-05-12,8,"=""600641""",先导基电,1,2.04,3.15,4.62,14.68,11.99,71.95,4.71,24.99,above_signal,none,none,False,False,,False,False,2.3046,2.1137,0.3818,1.3962,28.2638,26.8675,32.4525,33.8487,中等波动,1.0,100.0,allow,"near old high 30.15 from 2022-08-08, distance=1.63%, drawdown=69.86%, vol20=1.18",2022-08-08,30.15,907.0,0.6986,0.0163,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.1784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,4.9529,2026-05-12,29.66,1
2026-05-12,9,"=""002663""",普邦股份,1,85.45,21.52,89.9,83.96,15.6,69.86,4.86,24.21,above_signal,none,none,False,False,,False,False,0.039,0.0055,0.0671,0.1181,2.3119,2.1938,2.6662,2.7843,中等波动,1.0,100.0,allow,"near old high 2.55 from 2025-11-14, distance=4.71%, drawdown=26.67%, vol20=0.93",2025-11-14,2.55,115.0,0.2667,0.0471,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.9304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,4.9514,2026-05-12,2.43,1
2026-05-12,10,"=""000906""",浙商中拓,2,17.13,32.65,55.07,47.08,32.61,42.27,2.99,39.27,above_signal,bottom_divergence,none,False,True,2026-04-21,False,False,0.2333,0.1504,0.1658,0.1998,6.4702,6.2705,7.0695,7.2693,低波动,0.0,100.0,allow,"price above old high 6.38 from 2025-11-14, post_breakout=8d, vol_ratio=1.27",2025-11-14,6.38,115.0,0.1677,-0.0455,2026-04-27,1.2689,0.8837,0.1163,0.3023,0.1054,low,0.0455,8.0,0.0668,,,,,,,,,,,,,,,,,,,,,,,,0.9428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,2.9701,2026-05-12,6.67,1
2026-05-12,11,"=""002293""",罗莱生活,2,13.24,19.88,97.06,93.06,3.36,83.47,3.61,32.61,above_signal,none,none,False,False,,False,False,0.2619,0.2153,0.0933,0.42,11.22,10.8,12.48,12.9,中等波动,1.0,100.0,allow,"price above old high 11.15 from 2023-05-09, post_breakout=10d, vol_ratio=1.55",2023-05-09,11.15,727.0,0.5,-0.0439,2026-04-23,1.5516,0.6986,0.3014,0.3562,0.039,low,0.0439,10.0,0.0629,,,,,,,,,,,,,,,,,,,,,,,,1.4642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,1.9639,2026-05-12,11.64,3
2026-05-12,12,"=""600790""",轻纺城,2,2.18,6.44,10.44,7.17,3.84,75.86,3.67,32.1,above_signal,none,none,False,False,,False,False,0.2498,0.1477,0.2041,0.1704,4.4796,4.3091,4.9909,5.1613,中等波动,0.0,100.0,allow,"price above old high 4.35 from 2025-04-24, post_breakout=4d, vol_ratio=1.18",2025-04-24,4.3479,251.0,0.2165,-0.0695,2026-05-06,1.175,1.0,0.0,0.9318,0.0413,low,0.0695,4.0,0.0866,,,,,,,,,,,,,,,,,,,,,,,,1.7211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,1.9633,2026-05-12,4.65,1
2026-05-12,13,"=""002768""",国恩股份,2,31.18,12.3,91.03,54.4,33.36,81.48,3.77,31.24,above_signal,none,none,False,False,,False,False,2.3269,1.3128,2.0282,2.2975,58.7025,56.405,65.595,67.8924,中等波动,0.0,100.0,allow,"price above old high 60.98 from 2026-01-27, post_breakout=1d, vol_ratio=1.30",2026-01-27,60.98,65.0,0.2748,-0.0003,2026-05-11,1.3047,0.8072,0.1928,0.6992,0.0567,low,0.0003,1.0,0.0167,,,,,,,,,,,,,,,,,,,,,,,,1.1527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,1.9623,2026-05-12,61.0,1
2026-05-12,14,"=""003022""",联泓新科,2,8.08,7.68,95.62,54.0,40.72,83.84,4.15,28.33,above_signal,none,none,False,False,,False,False,1.1284,1.0603,0.1361,1.0624,24.5176,23.4553,27.7047,28.7671,中等波动,0.0,100.0,allow,"price above old high 23.89 from 2025-09-12, post_breakout=10d, vol_ratio=1.48",2025-09-12,23.89,154.0,0.2453,-0.0707,2026-04-23,1.4798,1.0,0.0,1.0,0.0292,low,0.0707,10.0,0.069,,,,,,,,,,,,,,,,,,,,,,,,1.6445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,1.9585,2026-05-12,25.58,1
2026-05-12,15,"=""601996""",丰林集团,2,22.96,11.26,25.83,60.24,28.99,66.76,4.94,23.84,above_signal,none,none,False,False,,False,False,0.1464,0.1003,0.0923,0.1505,2.8995,2.7489,3.3511,3.5016,中等波动,1.0,100.0,allow,"price above old high 2.85 from 2025-11-17, post_breakout=3d, vol_ratio=1.27",2025-11-17,2.85,114.0,0.2316,-0.0702,2026-05-07,1.2734,1.0,0.0,0.8966,0.1091,low,0.0702,3.0,0.039,,,,,,,,,,,,,,,,,,,,,,,,0.9208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,1.9506,2026-05-12,3.05,2
2026-05-12,16,"=""603222""",济民健康,4,44.25,13.38,51.35,52.79,19.27,66.24,4.96,23.73,below_signal,none,none,False,False,,False,False,0.1314,0.1325,-0.0023,0.5152,9.8748,9.3596,11.4204,11.9356,中等波动,0.0,100.0,allow,"duck peak 2026-04-07 at 11.52, neck=29.15%, pullback=20.75%, cross=2026-05-08, vol/pk_tail=0.42",,,,,,,,,,,,,,,,2026-04-07,11.52,22.0,2026-02-24,0.2915,0.3714,2026-04-28,9.13,0.2075,2026-05-08,2.0,5.0,0.0125,0.0326,0.6086,-0.0981,0.4185,0.6043,0.994,0.0,0.0327,2.3754,,0.8766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81460579.0,,,,,,,,第三梯队,0.9504,2026-05-12,10.39,1
2026-05-12,17,"=""605162""",新中港,6,84.65,61.82,72.73,62.24,30.9,68.6,6.43,18.31,below_signal,bottom_divergence,none,False,True,2026-04-20,False,False,-0.1259,0.074,-0.3998,0.7577,11.0323,10.2746,13.3054,14.0631,高波动,0.0,100.0,allow,"double-volume break reclaim: anchor=2026-03-31 support=11.61, peak=15.48 on 2026-04-08, launch=33.33%, limit_up_like=5, pullback_max/rise_tail=0.84, broke=2026-05-06 vol_ratio=0.37, reclaimed=2026-05-07 in 1d",,,,,,,,,,,,,,,,,,,,,,2026-04-30,11.09,0.2836,,,,,,,,,0.4533,,,,,,0.5478,,,,,,,,,,,,break_reclaim,2026-03-31,11.61,11.61,1.1209,1.6448,2026-04-08,15.48,0.3333,2026-04-08,15.48,0.3333,5.0,0.8395,38374296.6,17394940.2727,62073972.6667,51978014.0,0.8374,,2026-05-06,0.3736,2026-05-07,1.0,3.0,第二梯队,4.9357,2026-05-12,11.79,3
2026-05-12,18,"=""605298""",必得科技,6,7.88,31.04,95.08,68.2,26.82,76.46,4.85,24.24,below_signal,none,none,False,False,,False,False,2.4069,2.955,-1.0962,2.7336,53.5864,50.8528,61.7872,64.5207,中等波动,1.0,100.0,allow,"double-volume support hold: anchor=2026-04-17 close=54.75, peak=65.00 on 2026-04-23, launch=18.72%, limit_up_like=2, pullback=14.31%, vol_back/front=0.58, pullback_max/rise_tail=1.00, touch=2026-05-12",,,,,,,,,,,,,,,,,,,,,,2026-05-12,55.7,0.1431,,,,,,,,,0.582,,,,,,0.8154,,,,,,,,,,,,support_hold,2026-04-17,54.75,54.75,1.3196,1.8433,2026-04-23,65.0,0.1872,2026-04-23,65.0,0.1872,2.0,0.7655,3401296.8,1979595.6,5103046.6667,5104351.0,1.0003,2026-05-12,,,,,,第二梯队,3.9515,2026-05-12,56.32,1
2026-05-12,19,"=""600150""",中国船舶,3,8.45,28.7,85.88,62.87,24.23,71.52,3.41,34.55,above_signal,none,none,False,False,,False,False,2.065,1.757,0.616,1.3792,39.1208,37.7415,43.2585,44.6377,中等波动,0.0,100.0,allow,"post breakout 7d from 2026-04-28, below old high 40.98, vol_ratio=1.09",2025-08-19,40.98,172.0,0.2679,0.0117,2026-04-28,1.0865,0.8077,0.1923,0.7722,0.0433,low,0.0,7.0,0.0508,,,,,,,,,,,,,,,,,,,,,,,,0.8646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第二梯队,2.9659,2026-05-12,40.5,1
2026-05-12,20,"=""603390""",通达电气,3,11.6,31.58,38.84,18.93,12.1,56.49,3.46,34.04,above_signal,none,none,False,False,,False,False,0.5086,0.4323,0.1525,0.4752,13.2748,12.7996,14.7004,15.1756,中等波动,1.0,100.0,allow,"post breakout 9d from 2026-04-24, below old high 13.88, vol_ratio=1.69",2026-01-06,13.88,80.0,0.2205,0.0094,2026-04-24,1.6934,1.0,0.0,0.9785,0.1455,low,0.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.9545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第二梯队,2.9654,2026-05-12,13.75,1
2026-05-12,21,"=""601512""",中新集团,3,4.76,93.6,76.71,30.83,30.14,86.17,5.34,22.03,above_signal,none,none,False,False,,False,False,0.3743,0.3449,0.0587,0.5372,9.5228,8.9856,11.1344,11.6716,中等波动,1.0,100.0,allow,"post breakout 10d from 2026-04-23, below old high 10.34, vol_ratio=1.17",2026-01-12,10.34,76.0,0.2021,0.0271,2026-04-23,1.175,1.0,0.0,1.0,0.0255,low,0.0,10.0,0.0053,,,,,,,,,,,,,,,,,,,,,,,,1.2396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第二梯队,2.9466,2026-05-12,10.06,1
